

1640096681.312465146  Node Startup
1640096681.658102035 INFO /sensor/tactile_pressure [serial_node.py:65(<module>)] [topics: /rosout] Connecting to /dev/ttyUSB0 at 57600 baud
1640096683.765106916 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096998.863936901 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096998.864639997 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097013.866647005 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097013.867547988 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097028.869769096 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097028.870660066 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097043.872543096 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097043.873454093 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097058.877362012 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097058.879935026 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097073.882231950 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097073.883308887 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097088.886656999 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097088.889184951 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097103.890605926 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097103.891355037 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097118.892911911 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097118.893806934 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097133.896989107 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097133.899008035 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097148.901357889 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097148.902190923 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097163.903229951 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097163.904074907 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097178.906085014 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097178.907078981 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097193.910703897 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097193.913336992 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097208.915307044 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097208.916141986 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097223.927206993 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097223.930340051 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097238.934421062 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640097238.936889886 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640097253.716640949 INFO /sensor/tactile_pressure [SerialClient.py:429(SerialClient.txStopRequest)] [topics: /diagnostics, /rosout] Sending tx stop request
1640097253.717943906 INFO /sensor/tactile_pressure [SerialClient.py:359(SerialClient.shutdown)] [topics: /diagnostics, /rosout] shutdown hook activated
