

1640093186.859939323  Node Startup
1640093254.263134002 INFO /sensor/tactile_pressure [serial_node.py:65(<module>)] [topics: /rosout] Connecting to /dev/ttyUSB0 at 57600 baud
1640093256.369399070 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093571.446597099 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093586.449383020 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093586.450500011 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093601.452030897 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093601.456032991 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093616.457590103 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093616.458610057 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093631.460587024 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093631.464499950 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093646.466227054 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093646.466980934 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093661.469050884 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093661.473072052 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093676.475203037 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093676.476320028 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093691.477777004 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093691.478622913 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093706.481247901 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093706.483031988 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093721.486139059 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093721.487950086 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093736.490216970 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093736.492331981 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
